
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  4.00000000000E+08     ; 4.80000000000E+08   ; Hz                  ; 401       ; S21           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; MAGNITUDE           ; dB        ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  S21          
   4.00000000000E+08; -45.5421      
   4.00200000000E+08; -39.7911      
   4.00400000000E+08; -40.7685      
   4.00600000000E+08; -39.2785      
   4.00800000000E+08; -49.4385      
   4.01000000000E+08; -47.6608      
   4.01200000000E+08; -46.7641      
   4.01400000000E+08; -44.3966      
   4.01600000000E+08; -47.9622      
   4.01800000000E+08; -36.7417      
   4.02000000000E+08; -39.2514      
   4.02200000000E+08; -36.7024      
   4.02400000000E+08; -34.276       
   4.02600000000E+08; -36.4958      
   4.02800000000E+08; -36.2306      
   4.03000000000E+08; -36.1693      
   4.03200000000E+08; -37.1197      
   4.03400000000E+08; -35.6986      
   4.03600000000E+08; -38.1215      
   4.03800000000E+08; -37.4907      
   4.04000000000E+08; -37.8401      
   4.04200000000E+08; -38.3386      
   4.04400000000E+08; -39.6368      
   4.04600000000E+08; -38.6625      
   4.04800000000E+08; -39.4454      
   4.05000000000E+08; -40.0386      
   4.05200000000E+08; -41.137       
   4.05400000000E+08; -43.0753      
   4.05600000000E+08; -40.3995      
   4.05800000000E+08; -39.5055      
   4.06000000000E+08; -42.5665      
   4.06200000000E+08; -41.7721      
   4.06400000000E+08; -40.8316      
   4.06600000000E+08; -42.6669      
   4.06800000000E+08; -40.3429      
   4.07000000000E+08; -40.7382      
   4.07200000000E+08; -39.6784      
   4.07400000000E+08; -39.2102      
   4.07600000000E+08; -39.637       
   4.07800000000E+08; -39.9981      
   4.08000000000E+08; -40.3355      
   4.08200000000E+08; -41.5584      
   4.08400000000E+08; -41.948       
   4.08600000000E+08; -41.9155      
   4.08800000000E+08; -42.3469      
   4.09000000000E+08; -44.0845      
   4.09200000000E+08; -40.927       
   4.09400000000E+08; -42.1099      
   4.09600000000E+08; -40.3724      
   4.09800000000E+08; -40.6883      
   4.10000000000E+08; -38.9444      
   4.10200000000E+08; -40.2817      
   4.10400000000E+08; -39.9295      
   4.10600000000E+08; -37.7031      
   4.10800000000E+08; -38.0512      
   4.11000000000E+08; -38.3106      
   4.11200000000E+08; -37.2335      
   4.11400000000E+08; -37.0737      
   4.11600000000E+08; -37.3677      
   4.11800000000E+08; -37.2753      
   4.12000000000E+08; -35.874       
   4.12200000000E+08; -35.7977      
   4.12400000000E+08; -37.4389      
   4.12600000000E+08; -38.2806      
   4.12800000000E+08; -38.3064      
   4.13000000000E+08; -38.9701      
   4.13200000000E+08; -37.2602      
   4.13400000000E+08; -38.342       
   4.13600000000E+08; -35.6525      
   4.13800000000E+08; -33.886       
   4.14000000000E+08; -31.8154      
   4.14200000000E+08; -30.3802      
   4.14400000000E+08; -28.0852      
   4.14600000000E+08; -24.8263      
   4.14800000000E+08; -26.8099      
   4.15000000000E+08; -19.9245      
   4.15200000000E+08; -16.4884      
   4.15400000000E+08; -21.0029      
   4.15600000000E+08; -28.1756      
   4.15800000000E+08; -27.7516      
   4.16000000000E+08; -29.6815      
   4.16200000000E+08; -38.4249      
   4.16400000000E+08; -49.4639      
   4.16600000000E+08; -44.3784      
   4.16800000000E+08; -41.7075      
   4.17000000000E+08; -32.8213      
   4.17200000000E+08; -25.0684      
   4.17400000000E+08; -20.8801      
   4.17600000000E+08; -15.7117      
   4.17800000000E+08; -8.0217       
   4.18000000000E+08; -7.26143      
   4.18200000000E+08; -3.28638      
   4.18400000000E+08; -3.47908      
   4.18600000000E+08; -9.59765      
   4.18800000000E+08; -16.6637      
   4.19000000000E+08; -21.8948      
   4.19200000000E+08; -24.8702      
   4.19400000000E+08; -34.1552      
   4.19600000000E+08; -36.0369      
   4.19800000000E+08; -24.1577      
   4.20000000000E+08; -15.5306      
   4.20200000000E+08; -5.70101      
   4.20400000000E+08;  3.0153       
   4.20600000000E+08;  2.91646      
   4.20800000000E+08; -3.78267      
   4.21000000000E+08; -16.3467      
   4.21200000000E+08; -37.002       
   4.21400000000E+08; -20.5426      
   4.21600000000E+08; -9.9576       
   4.21800000000E+08; -1.27261      
   4.22000000000E+08;  5.35941      
   4.22200000000E+08;  10.2875      
   4.22400000000E+08;  13.6422      
   4.22600000000E+08;  15.5136      
   4.22800000000E+08;  16.6433      
   4.23000000000E+08;  17.2449      
   4.23200000000E+08;  17.6106      
   4.23400000000E+08;  17.8034      
   4.23600000000E+08;  17.9036      
   4.23800000000E+08;  17.9049      
   4.24000000000E+08;  17.9018      
   4.24200000000E+08;  17.8818      
   4.24400000000E+08;  17.9181      
   4.24600000000E+08;  18.0051      
   4.24800000000E+08;  18.1205      
   4.25000000000E+08;  18.2094      
   4.25200000000E+08;  18.3464      
   4.25400000000E+08;  18.4491      
   4.25600000000E+08;  18.5846      
   4.25800000000E+08;  18.6912      
   4.26000000000E+08;  18.7775      
   4.26200000000E+08;  18.8361      
   4.26400000000E+08;  18.9073      
   4.26600000000E+08;  18.9712      
   4.26800000000E+08;  18.9916      
   4.27000000000E+08;  18.9495      
   4.27200000000E+08;  18.8786      
   4.27400000000E+08;  18.7701      
   4.27600000000E+08;  18.6622      
   4.27800000000E+08;  18.6321      
   4.28000000000E+08;  18.5791      
   4.28200000000E+08;  18.4879      
   4.28400000000E+08;  18.4024      
   4.28600000000E+08;  18.3552      
   4.28800000000E+08;  18.3367      
   4.29000000000E+08;  18.39        
   4.29200000000E+08;  18.3621      
   4.29400000000E+08;  18.3477      
   4.29600000000E+08;  18.3395      
   4.29800000000E+08;  18.3463      
   4.30000000000E+08;  18.5311      
   4.30200000000E+08;  18.6474      
   4.30400000000E+08;  18.701       
   4.30600000000E+08;  18.7454      
   4.30800000000E+08;  18.7144      
   4.31000000000E+08;  18.7361      
   4.31200000000E+08;  18.9528      
   4.31400000000E+08;  19.1476      
   4.31600000000E+08;  19.2943      
   4.31800000000E+08;  19.3886      
   4.32000000000E+08;  19.3996      
   4.32200000000E+08;  19.3786      
   4.32400000000E+08;  19.2352      
   4.32600000000E+08;  19.3639      
   4.32800000000E+08;  19.4551      
   4.33000000000E+08;  19.4069      
   4.33200000000E+08;  19.2961      
   4.33400000000E+08;  19.1561      
   4.33600000000E+08;  19.1185      
   4.33800000000E+08;  19.0397      
   4.34000000000E+08;  18.9641      
   4.34200000000E+08;  18.8433      
   4.34400000000E+08;  18.7553      
   4.34600000000E+08;  18.5875      
   4.34800000000E+08;  18.5085      
   4.35000000000E+08;  18.4212      
   4.35200000000E+08;  18.3249      
   4.35400000000E+08;  18.242       
   4.35600000000E+08;  18.0087      
   4.35800000000E+08;  17.8895      
   4.36000000000E+08;  17.773       
   4.36200000000E+08;  17.7886      
   4.36400000000E+08;  17.7713      
   4.36600000000E+08;  17.8063      
   4.36800000000E+08;  17.7895      
   4.37000000000E+08;  17.793       
   4.37200000000E+08;  17.6393      
   4.37400000000E+08;  17.5728      
   4.37600000000E+08;  17.6855      
   4.37800000000E+08;  17.7224      
   4.38000000000E+08;  17.8594      
   4.38200000000E+08;  17.9942      
   4.38400000000E+08;  18.0505      
   4.38600000000E+08;  18.0504      
   4.38800000000E+08;  17.9501      
   4.39000000000E+08;  17.9433      
   4.39200000000E+08;  18.1527      
   4.39400000000E+08;  18.3784      
   4.39600000000E+08;  18.5888      
   4.39800000000E+08;  18.667       
   4.40000000000E+08;  18.7549      
   4.40200000000E+08;  18.7463      
   4.40400000000E+08;  18.4294      
   4.40600000000E+08;  18.5318      
   4.40800000000E+08;  18.8882      
   4.41000000000E+08;  18.7779      
   4.41200000000E+08;  18.8056      
   4.41400000000E+08;  18.9517      
   4.41600000000E+08;  18.9212      
   4.41800000000E+08;  18.7248      
   4.42000000000E+08;  18.1758      
   4.42200000000E+08;  18.4297      
   4.42400000000E+08;  18.7213      
   4.42600000000E+08;  18.5733      
   4.42800000000E+08;  18.5438      
   4.43000000000E+08;  18.5233      
   4.43200000000E+08;  18.3061      
   4.43400000000E+08;  18.2774      
   4.43600000000E+08;  17.8601      
   4.43800000000E+08;  17.98        
   4.44000000000E+08;  18.0936      
   4.44200000000E+08;  18.142       
   4.44400000000E+08;  18.0777      
   4.44600000000E+08;  18.1604      
   4.44800000000E+08;  18.2228      
   4.45000000000E+08;  18.0079      
   4.45200000000E+08;  17.3524      
   4.45400000000E+08;  17.052       
   4.45600000000E+08;  17.3424      
   4.45800000000E+08;  17.1849      
   4.46000000000E+08;  17.0521      
   4.46200000000E+08;  16.3311      
   4.46400000000E+08;  15.391       
   4.46600000000E+08;  14.5162      
   4.46800000000E+08;  13.6533      
   4.47000000000E+08;  13.0582      
   4.47200000000E+08;  12.1407      
   4.47400000000E+08;  11.5921      
   4.47600000000E+08;  10.8637      
   4.47800000000E+08;  9.88398      
   4.48000000000E+08;  9.03974      
   4.48200000000E+08;  7.71076      
   4.48400000000E+08;  6.55285      
   4.48600000000E+08;  5.88607      
   4.48800000000E+08;  5.45082      
   4.49000000000E+08;  4.62381      
   4.49200000000E+08;  3.91409      
   4.49400000000E+08;  2.86047      
   4.49600000000E+08;  1.95447      
   4.49800000000E+08;  0.733642     
   4.50000000000E+08;  0.0306889    
   4.50200000000E+08; -0.521372     
   4.50400000000E+08; -1.04124      
   4.50600000000E+08; -1.76973      
   4.50800000000E+08; -2.45199      
   4.51000000000E+08; -3.69171      
   4.51200000000E+08; -4.2585       
   4.51400000000E+08; -4.4566       
   4.51600000000E+08; -5.47335      
   4.51800000000E+08; -6.4991       
   4.52000000000E+08; -7.35441      
   4.52200000000E+08; -7.85356      
   4.52400000000E+08; -8.84697      
   4.52600000000E+08; -9.35912      
   4.52800000000E+08; -9.97466      
   4.53000000000E+08; -10.9843      
   4.53200000000E+08; -12.3395      
   4.53400000000E+08; -10.9572      
   4.53600000000E+08; -12.6376      
   4.53800000000E+08; -12.1494      
   4.54000000000E+08; -13.3845      
   4.54200000000E+08; -12.2356      
   4.54400000000E+08; -13.0963      
   4.54600000000E+08; -13.3836      
   4.54800000000E+08; -14.5797      
   4.55000000000E+08; -14.029       
   4.55200000000E+08; -15.3433      
   4.55400000000E+08; -14.362       
   4.55600000000E+08; -14.1426      
   4.55800000000E+08; -15.5766      
   4.56000000000E+08; -17.6218      
   4.56200000000E+08; -16.5953      
   4.56400000000E+08; -16.5719      
   4.56600000000E+08; -16.8173      
   4.56800000000E+08; -16.7108      
   4.57000000000E+08; -17.1658      
   4.57200000000E+08; -15.782       
   4.57400000000E+08; -18.2597      
   4.57600000000E+08; -19.9799      
   4.57800000000E+08; -19.499       
   4.58000000000E+08; -18.8452      
   4.58200000000E+08; -17.1632      
   4.58400000000E+08; -19.7179      
   4.58600000000E+08; -21.393       
   4.58800000000E+08; -17.7527      
   4.59000000000E+08; -19.4303      
   4.59200000000E+08; -19.5073      
   4.59400000000E+08; -20.2217      
   4.59600000000E+08; -22.0834      
   4.59800000000E+08; -20.1068      
   4.60000000000E+08; -18.0074      
   4.60200000000E+08; -17.4993      
   4.60400000000E+08; -20.307       
   4.60600000000E+08; -22.1748      
   4.60800000000E+08; -23.4125      
   4.61000000000E+08; -20.7409      
   4.61200000000E+08; -19.2062      
   4.61400000000E+08; -16.0559      
   4.61600000000E+08; -19.2963      
   4.61800000000E+08; -21.4146      
   4.62000000000E+08; -23.0942      
   4.62200000000E+08; -23.0043      
   4.62400000000E+08; -19.4212      
   4.62600000000E+08; -17.1058      
   4.62800000000E+08; -17.3818      
   4.63000000000E+08; -19.5329      
   4.63200000000E+08; -22.8942      
   4.63400000000E+08; -23.7439      
   4.63600000000E+08; -19.4875      
   4.63800000000E+08; -17.0865      
   4.64000000000E+08; -17.2562      
   4.64200000000E+08; -17.4692      
   4.64400000000E+08; -21.9738      
   4.64600000000E+08; -23.2648      
   4.64800000000E+08; -20.9653      
   4.65000000000E+08; -17.6874      
   4.65200000000E+08; -21.951       
   4.65400000000E+08; -19.268       
   4.65600000000E+08; -20.8393      
   4.65800000000E+08; -20.754       
   4.66000000000E+08; -21.7551      
   4.66200000000E+08; -20.6457      
   4.66400000000E+08; -19.0006      
   4.66600000000E+08; -22.4991      
   4.66800000000E+08; -22.0639      
   4.67000000000E+08; -20.8905      
   4.67200000000E+08; -20.1762      
   4.67400000000E+08; -19.6687      
   4.67600000000E+08; -23.6397      
   4.67800000000E+08; -26.2894      
   4.68000000000E+08; -25.1104      
   4.68200000000E+08; -22.3407      
   4.68400000000E+08; -20.9469      
   4.68600000000E+08; -23.9403      
   4.68800000000E+08; -24.0479      
   4.69000000000E+08; -25.5787      
   4.69200000000E+08; -24.6031      
   4.69400000000E+08; -25.0271      
   4.69600000000E+08; -24.8541      
   4.69800000000E+08; -25.7179      
   4.70000000000E+08; -24.1717      
   4.70200000000E+08; -26.0924      
   4.70400000000E+08; -26.0695      
   4.70600000000E+08; -26.9077      
   4.70800000000E+08; -26.8143      
   4.71000000000E+08; -26.4749      
   4.71200000000E+08; -30.3215      
   4.71400000000E+08; -31.4578      
   4.71600000000E+08; -32.3197      
   4.71800000000E+08; -28.9709      
   4.72000000000E+08; -30.3918      
   4.72200000000E+08; -33.3902      
   4.72400000000E+08; -33.2683      
   4.72600000000E+08; -26.227       
   4.72800000000E+08; -29.56        
   4.73000000000E+08; -31.6007      
   4.73200000000E+08; -33.8456      
   4.73400000000E+08; -35.6804      
   4.73600000000E+08; -35.1312      
   4.73800000000E+08; -34.6551      
   4.74000000000E+08; -33.545       
   4.74200000000E+08; -37.611       
   4.74400000000E+08; -40.4437      
   4.74600000000E+08; -47.0923      
   4.74800000000E+08; -39.4272      
   4.75000000000E+08; -35.9951      
   4.75200000000E+08; -35.6328      
   4.75400000000E+08; -36.1682      
   4.75600000000E+08; -39.1421      
   4.75800000000E+08; -44.7969      
   4.76000000000E+08; -49.6249      
   4.76200000000E+08; -44.1331      
   4.76400000000E+08; -51.5591      
   4.76600000000E+08; -51.6954      
   4.76800000000E+08; -56.1152      
   4.77000000000E+08; -47.4368      
   4.77200000000E+08; -37.3821      
   4.77400000000E+08; -37.0874      
   4.77600000000E+08; -37.9927      
   4.77800000000E+08; -42.0916      
   4.78000000000E+08; -38.3959      
   4.78200000000E+08; -37.8572      
   4.78400000000E+08; -37.4362      
   4.78600000000E+08; -42.7679      
   4.78800000000E+08; -53.1098      
   4.79000000000E+08; -45.8093      
   4.79200000000E+08; -42.6829      
   4.79400000000E+08; -43.2232      
   4.79600000000E+08; -36.1272      
   4.79800000000E+08; -38.4956      
   4.80000000000E+08; -45.2458      
