
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  4.00000000000E+08     ; 4.80000000000E+08   ; Hz                  ; 1601      ; S21           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; MAGNITUDE           ; dB        ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  S21          
   4.00000000000E+08; -35.6648      
   4.00050000000E+08; -39.7079      
   4.00100000000E+08; -40.4732      
   4.00150000000E+08; -38.8438      
   4.00200000000E+08; -40.6798      
   4.00250000000E+08; -39.9858      
   4.00300000000E+08; -40.4879      
   4.00350000000E+08; -40.992       
   4.00400000000E+08; -39.0291      
   4.00450000000E+08; -42.0103      
   4.00500000000E+08; -50.5872      
   4.00550000000E+08; -44.3664      
   4.00600000000E+08; -47.0927      
   4.00650000000E+08; -37.3411      
   4.00700000000E+08; -37.8382      
   4.00750000000E+08; -37.3023      
   4.00800000000E+08; -35.8412      
   4.00850000000E+08; -35.3262      
   4.00900000000E+08; -39.1876      
   4.00950000000E+08; -36.5354      
   4.01000000000E+08; -34.6864      
   4.01050000000E+08; -35.6001      
   4.01100000000E+08; -34.6257      
   4.01150000000E+08; -34.6911      
   4.01200000000E+08; -35.5055      
   4.01250000000E+08; -35.8271      
   4.01300000000E+08; -35.3135      
   4.01350000000E+08; -34.1932      
   4.01400000000E+08; -32.8434      
   4.01450000000E+08; -34.0421      
   4.01500000000E+08; -34.5955      
   4.01550000000E+08; -33.4521      
   4.01600000000E+08; -34.6206      
   4.01650000000E+08; -35.5405      
   4.01700000000E+08; -35.8204      
   4.01750000000E+08; -36.8005      
   4.01800000000E+08; -37.5778      
   4.01850000000E+08; -35.109       
   4.01900000000E+08; -35.7404      
   4.01950000000E+08; -34.6806      
   4.02000000000E+08; -33.7198      
   4.02050000000E+08; -33.6253      
   4.02100000000E+08; -33.9115      
   4.02150000000E+08; -33.986       
   4.02200000000E+08; -33.2415      
   4.02250000000E+08; -33.5642      
   4.02300000000E+08; -33.8136      
   4.02350000000E+08; -32.9602      
   4.02400000000E+08; -33.4884      
   4.02450000000E+08; -33.9416      
   4.02500000000E+08; -33.4785      
   4.02550000000E+08; -33.6005      
   4.02600000000E+08; -33.2534      
   4.02650000000E+08; -34.0733      
   4.02700000000E+08; -33.4923      
   4.02750000000E+08; -32.8784      
   4.02800000000E+08; -32.0939      
   4.02850000000E+08; -32.5372      
   4.02900000000E+08; -33.659       
   4.02950000000E+08; -34.6129      
   4.03000000000E+08; -34.037       
   4.03050000000E+08; -34.6047      
   4.03100000000E+08; -34.4768      
   4.03150000000E+08; -35.534       
   4.03200000000E+08; -35.0517      
   4.03250000000E+08; -33.8334      
   4.03300000000E+08; -32.1982      
   4.03350000000E+08; -31.7865      
   4.03400000000E+08; -33.4806      
   4.03450000000E+08; -32.7272      
   4.03500000000E+08; -32.7527      
   4.03550000000E+08; -34.1209      
   4.03600000000E+08; -37.8946      
   4.03650000000E+08; -36.7776      
   4.03700000000E+08; -34.3319      
   4.03750000000E+08; -35.6976      
   4.03800000000E+08; -34.3637      
   4.03850000000E+08; -36.9752      
   4.03900000000E+08; -35.472       
   4.03950000000E+08; -36.6445      
   4.04000000000E+08; -37.8052      
   4.04050000000E+08; -32.4147      
   4.04100000000E+08; -34.0843      
   4.04150000000E+08; -34.5722      
   4.04200000000E+08; -35.0649      
   4.04250000000E+08; -35.2698      
   4.04300000000E+08; -36.312       
   4.04350000000E+08; -36.9908      
   4.04400000000E+08; -37.3028      
   4.04450000000E+08; -37.9826      
   4.04500000000E+08; -37.913       
   4.04550000000E+08; -34.6202      
   4.04600000000E+08; -35.0121      
   4.04650000000E+08; -35.5869      
   4.04700000000E+08; -35.5638      
   4.04750000000E+08; -36.5576      
   4.04800000000E+08; -37.3423      
   4.04850000000E+08; -36.5995      
   4.04900000000E+08; -37.0858      
   4.04950000000E+08; -36.1417      
   4.05000000000E+08; -35.8646      
   4.05050000000E+08; -37.2569      
   4.05100000000E+08; -36.1505      
   4.05150000000E+08; -36.6464      
   4.05200000000E+08; -37.8295      
   4.05250000000E+08; -38.251       
   4.05300000000E+08; -36.7502      
   4.05350000000E+08; -36.3649      
   4.05400000000E+08; -36.0432      
   4.05450000000E+08; -37.7586      
   4.05500000000E+08; -37.9775      
   4.05550000000E+08; -37.5537      
   4.05600000000E+08; -37.7003      
   4.05650000000E+08; -35.7578      
   4.05700000000E+08; -36.8941      
   4.05750000000E+08; -36.9016      
   4.05800000000E+08; -38.3761      
   4.05850000000E+08; -37.1094      
   4.05900000000E+08; -36.8876      
   4.05950000000E+08; -37.2959      
   4.06000000000E+08; -38.4779      
   4.06050000000E+08; -38.7463      
   4.06100000000E+08; -37.0487      
   4.06150000000E+08; -37.7472      
   4.06200000000E+08; -39.3832      
   4.06250000000E+08; -39.6646      
   4.06300000000E+08; -37.48        
   4.06350000000E+08; -36.4421      
   4.06400000000E+08; -37.8789      
   4.06450000000E+08; -37.092       
   4.06500000000E+08; -36.2641      
   4.06550000000E+08; -36.1993      
   4.06600000000E+08; -35.8899      
   4.06650000000E+08; -36.2044      
   4.06700000000E+08; -36.6561      
   4.06750000000E+08; -36.5641      
   4.06800000000E+08; -36.6387      
   4.06850000000E+08; -35.9852      
   4.06900000000E+08; -35.3688      
   4.06950000000E+08; -35.3392      
   4.07000000000E+08; -35.5126      
   4.07050000000E+08; -35.2866      
   4.07100000000E+08; -34.9009      
   4.07150000000E+08; -35.3722      
   4.07200000000E+08; -35.2977      
   4.07250000000E+08; -36.6322      
   4.07300000000E+08; -36.2519      
   4.07350000000E+08; -35.4151      
   4.07400000000E+08; -35.8054      
   4.07450000000E+08; -34.9389      
   4.07500000000E+08; -35.0681      
   4.07550000000E+08; -35.712       
   4.07600000000E+08; -34.6552      
   4.07650000000E+08; -34.8556      
   4.07700000000E+08; -34.9772      
   4.07750000000E+08; -34.6076      
   4.07800000000E+08; -35.708       
   4.07850000000E+08; -35.2008      
   4.07900000000E+08; -34.8774      
   4.07950000000E+08; -35.0525      
   4.08000000000E+08; -34.3474      
   4.08050000000E+08; -37.6705      
   4.08100000000E+08; -38.502       
   4.08150000000E+08; -37.9551      
   4.08200000000E+08; -35.9726      
   4.08250000000E+08; -36.0316      
   4.08300000000E+08; -36.9943      
   4.08350000000E+08; -35.8258      
   4.08400000000E+08; -35.8248      
   4.08450000000E+08; -35.1136      
   4.08500000000E+08; -35.4538      
   4.08550000000E+08; -37.1313      
   4.08600000000E+08; -36.5017      
   4.08650000000E+08; -37.3799      
   4.08700000000E+08; -37.125       
   4.08750000000E+08; -36.9894      
   4.08800000000E+08; -36.8085      
   4.08850000000E+08; -37.2494      
   4.08900000000E+08; -37.1888      
   4.08950000000E+08; -35.7901      
   4.09000000000E+08; -35.7382      
   4.09050000000E+08; -35.5683      
   4.09100000000E+08; -36.2433      
   4.09150000000E+08; -36.6481      
   4.09200000000E+08; -36.7675      
   4.09250000000E+08; -35.9166      
   4.09300000000E+08; -36.409       
   4.09350000000E+08; -36.489       
   4.09400000000E+08; -36.5713      
   4.09450000000E+08; -36.6408      
   4.09500000000E+08; -36.3723      
   4.09550000000E+08; -37.3841      
   4.09600000000E+08; -37.2051      
   4.09650000000E+08; -36.5086      
   4.09700000000E+08; -35.9285      
   4.09750000000E+08; -35.6358      
   4.09800000000E+08; -34.7785      
   4.09850000000E+08; -34.9145      
   4.09900000000E+08; -35.2891      
   4.09950000000E+08; -35.5966      
   4.10000000000E+08; -35.5496      
   4.10050000000E+08; -34.701       
   4.10100000000E+08; -34.5574      
   4.10150000000E+08; -35.1402      
   4.10200000000E+08; -34.7695      
   4.10250000000E+08; -33.5084      
   4.10300000000E+08; -33.1879      
   4.10350000000E+08; -33.884       
   4.10400000000E+08; -33.5981      
   4.10450000000E+08; -33.3413      
   4.10500000000E+08; -33.25        
   4.10550000000E+08; -32.8522      
   4.10600000000E+08; -32.8204      
   4.10650000000E+08; -33.3011      
   4.10700000000E+08; -32.2573      
   4.10750000000E+08; -32.5633      
   4.10800000000E+08; -32.7098      
   4.10850000000E+08; -32.3559      
   4.10900000000E+08; -32.6309      
   4.10950000000E+08; -33.007       
   4.11000000000E+08; -32.4968      
   4.11050000000E+08; -32.8667      
   4.11100000000E+08; -32.4711      
   4.11150000000E+08; -32.6347      
   4.11200000000E+08; -32.7028      
   4.11250000000E+08; -32.5843      
   4.11300000000E+08; -32.4434      
   4.11350000000E+08; -32.0778      
   4.11400000000E+08; -32.178       
   4.11450000000E+08; -32.697       
   4.11500000000E+08; -32.6092      
   4.11550000000E+08; -32.5778      
   4.11600000000E+08; -32.343       
   4.11650000000E+08; -32.1938      
   4.11700000000E+08; -32.8101      
   4.11750000000E+08; -32.726       
   4.11800000000E+08; -33.0155      
   4.11850000000E+08; -33.4176      
   4.11900000000E+08; -33.7143      
   4.11950000000E+08; -33.676       
   4.12000000000E+08; -33.2584      
   4.12050000000E+08; -32.9833      
   4.12100000000E+08; -33.8226      
   4.12150000000E+08; -33.6827      
   4.12200000000E+08; -34.1895      
   4.12250000000E+08; -34.7504      
   4.12300000000E+08; -33.9223      
   4.12350000000E+08; -33.7468      
   4.12400000000E+08; -33.6231      
   4.12450000000E+08; -33.8191      
   4.12500000000E+08; -33.5211      
   4.12550000000E+08; -33.5805      
   4.12600000000E+08; -33.4521      
   4.12650000000E+08; -33.0049      
   4.12700000000E+08; -32.8584      
   4.12750000000E+08; -32.5264      
   4.12800000000E+08; -33.2737      
   4.12850000000E+08; -32.9384      
   4.12900000000E+08; -32.7782      
   4.12950000000E+08; -31.842       
   4.13000000000E+08; -32.0819      
   4.13050000000E+08; -30.8287      
   4.13100000000E+08; -30.7469      
   4.13150000000E+08; -30.4252      
   4.13200000000E+08; -30.2262      
   4.13250000000E+08; -29.6439      
   4.13300000000E+08; -29.3551      
   4.13350000000E+08; -28.7157      
   4.13400000000E+08; -28.4501      
   4.13450000000E+08; -28.2022      
   4.13500000000E+08; -27.5854      
   4.13550000000E+08; -27.2337      
   4.13600000000E+08; -26.8844      
   4.13650000000E+08; -25.7628      
   4.13700000000E+08; -24.8252      
   4.13750000000E+08; -24.2392      
   4.13800000000E+08; -23.4206      
   4.13850000000E+08; -22.8046      
   4.13900000000E+08; -21.9754      
   4.13950000000E+08; -21.5947      
   4.14000000000E+08; -21.0132      
   4.14050000000E+08; -19.7293      
   4.14100000000E+08; -17.9976      
   4.14150000000E+08; -15.8582      
   4.14200000000E+08; -14.2912      
   4.14250000000E+08; -13.2636      
   4.14300000000E+08; -11.8842      
   4.14350000000E+08; -12.1028      
   4.14400000000E+08; -12.0472      
   4.14450000000E+08; -10.3245      
   4.14500000000E+08; -10.4966      
   4.14550000000E+08; -11.262       
   4.14600000000E+08; -13.3372      
   4.14650000000E+08; -15.528       
   4.14700000000E+08; -16.8621      
   4.14750000000E+08; -18.6747      
   4.14800000000E+08; -21.8952      
   4.14850000000E+08; -24.8165      
   4.14900000000E+08; -25.9158      
   4.14950000000E+08; -26.3701      
   4.15000000000E+08; -25.9897      
   4.15050000000E+08; -25.4735      
   4.15100000000E+08; -24.8063      
   4.15150000000E+08; -25.6429      
   4.15200000000E+08; -27.0778      
   4.15250000000E+08; -28.2083      
   4.15300000000E+08; -29.2195      
   4.15350000000E+08; -30.3511      
   4.15400000000E+08; -32.1022      
   4.15450000000E+08; -33.8186      
   4.15500000000E+08; -34.164       
   4.15550000000E+08; -33.9197      
   4.15600000000E+08; -33.813       
   4.15650000000E+08; -33.3609      
   4.15700000000E+08; -33.0584      
   4.15750000000E+08; -33.5594      
   4.15800000000E+08; -32.6015      
   4.15850000000E+08; -31.5544      
   4.15900000000E+08; -31.3307      
   4.15950000000E+08; -30.6039      
   4.16000000000E+08; -29.0209      
   4.16050000000E+08; -27.6829      
   4.16100000000E+08; -27.0573      
   4.16150000000E+08; -27.3892      
   4.16200000000E+08; -28.6017      
   4.16250000000E+08; -28.1265      
   4.16300000000E+08; -27.2196      
   4.16350000000E+08; -26.3432      
   4.16400000000E+08; -24.4512      
   4.16450000000E+08; -22.494       
   4.16500000000E+08; -20.6148      
   4.16550000000E+08; -19.3756      
   4.16600000000E+08; -18.2003      
   4.16650000000E+08; -16.5632      
   4.16700000000E+08; -14.821       
   4.16750000000E+08; -12.8681      
   4.16800000000E+08; -10.6098      
   4.16850000000E+08; -8.36778      
   4.16900000000E+08; -6.12044      
   4.16950000000E+08; -3.59746      
   4.17000000000E+08; -1.45825      
   4.17050000000E+08;  0.188861     
   4.17100000000E+08;  0.789348     
   4.17150000000E+08;  0.67313      
   4.17200000000E+08; -0.497353     
   4.17250000000E+08; -2.55907      
   4.17300000000E+08; -3.24495      
   4.17350000000E+08; -1.99038      
   4.17400000000E+08; -1.06119      
   4.17450000000E+08; -1.59891      
   4.17500000000E+08; -2.87356      
   4.17550000000E+08; -3.80026      
   4.17600000000E+08; -4.58677      
   4.17650000000E+08; -6.05401      
   4.17700000000E+08; -7.90044      
   4.17750000000E+08; -9.99337      
   4.17800000000E+08; -11.7329      
   4.17850000000E+08; -12.7942      
   4.17900000000E+08; -14.62        
   4.17950000000E+08; -15.5447      
   4.18000000000E+08; -16.6653      
   4.18050000000E+08; -17.8651      
   4.18100000000E+08; -19.2367      
   4.18150000000E+08; -20.9665      
   4.18200000000E+08; -22.8866      
   4.18250000000E+08; -23.5149      
   4.18300000000E+08; -23.3923      
   4.18350000000E+08; -23.6297      
   4.18400000000E+08; -24.0352      
   4.18450000000E+08; -26.0842      
   4.18500000000E+08; -28.4599      
   4.18550000000E+08; -30.9179      
   4.18600000000E+08; -32.7923      
   4.18650000000E+08; -31.6236      
   4.18700000000E+08; -29.9219      
   4.18750000000E+08; -27.9335      
   4.18800000000E+08; -25.6987      
   4.18850000000E+08; -25.0551      
   4.18900000000E+08; -22.9399      
   4.18950000000E+08; -21.0743      
   4.19000000000E+08; -19.4553      
   4.19050000000E+08; -17.0178      
   4.19100000000E+08; -14.1382      
   4.19150000000E+08; -11.2753      
   4.19200000000E+08; -8.15156      
   4.19250000000E+08; -5.0614       
   4.19300000000E+08; -2.29946      
   4.19350000000E+08; -0.455885     
   4.19400000000E+08; -0.16096      
   4.19450000000E+08; -0.00594649   
   4.19500000000E+08;  1.54851      
   4.19550000000E+08;  3.00697      
   4.19600000000E+08;  4.58407      
   4.19650000000E+08;  5.03372      
   4.19700000000E+08;  4.81228      
   4.19750000000E+08;  3.98555      
   4.19800000000E+08;  1.42793      
   4.19850000000E+08; -1.85068      
   4.19900000000E+08; -5.32567      
   4.19950000000E+08; -8.20866      
   4.20000000000E+08; -10.3844      
   4.20050000000E+08; -13.1761      
   4.20100000000E+08; -16.1349      
   4.20150000000E+08; -19.7023      
   4.20200000000E+08; -23.5606      
   4.20250000000E+08; -27.8785      
   4.20300000000E+08; -31.0123      
   4.20350000000E+08; -29.1209      
   4.20400000000E+08; -25.9331      
   4.20450000000E+08; -22.3905      
   4.20500000000E+08; -19.5726      
   4.20550000000E+08; -16.5989      
   4.20600000000E+08; -14.0176      
   4.20650000000E+08; -11.8105      
   4.20700000000E+08; -9.74569      
   4.20750000000E+08; -7.61411      
   4.20800000000E+08; -5.53214      
   4.20850000000E+08; -3.55909      
   4.20900000000E+08; -1.67947      
   4.20950000000E+08;  0.128287     
   4.21000000000E+08;  1.81532      
   4.21050000000E+08;  3.40573      
   4.21100000000E+08;  4.88289      
   4.21150000000E+08;  6.27993      
   4.21200000000E+08;  7.64039      
   4.21250000000E+08;  8.92401      
   4.21300000000E+08;  10.0802      
   4.21350000000E+08;  11.1683      
   4.21400000000E+08;  12.2061      
   4.21450000000E+08;  13.1737      
   4.21500000000E+08;  14.0008      
   4.21550000000E+08;  14.6916      
   4.21600000000E+08;  15.3007      
   4.21650000000E+08;  15.8319      
   4.21700000000E+08;  16.265       
   4.21750000000E+08;  16.6624      
   4.21800000000E+08;  17.0213      
   4.21850000000E+08;  17.3412      
   4.21900000000E+08;  17.646       
   4.21950000000E+08;  17.9129      
   4.22000000000E+08;  18.1498      
   4.22050000000E+08;  18.3446      
   4.22100000000E+08;  18.5072      
   4.22150000000E+08;  18.6386      
   4.22200000000E+08;  18.7415      
   4.22250000000E+08;  18.8455      
   4.22300000000E+08;  18.9441      
   4.22350000000E+08;  19.0251      
   4.22400000000E+08;  19.0919      
   4.22450000000E+08;  19.1654      
   4.22500000000E+08;  19.2454      
   4.22550000000E+08;  19.299       
   4.22600000000E+08;  19.3352      
   4.22650000000E+08;  19.3568      
   4.22700000000E+08;  19.3759      
   4.22750000000E+08;  19.3959      
   4.22800000000E+08;  19.4232      
   4.22850000000E+08;  19.4419      
   4.22900000000E+08;  19.4652      
   4.22950000000E+08;  19.4868      
   4.23000000000E+08;  19.5145      
   4.23050000000E+08;  19.5352      
   4.23100000000E+08;  19.5455      
   4.23150000000E+08;  19.5498      
   4.23200000000E+08;  19.5663      
   4.23250000000E+08;  19.593       
   4.23300000000E+08;  19.6112      
   4.23350000000E+08;  19.6277      
   4.23400000000E+08;  19.6566      
   4.23450000000E+08;  19.7058      
   4.23500000000E+08;  19.7429      
   4.23550000000E+08;  19.7679      
   4.23600000000E+08;  19.7931      
   4.23650000000E+08;  19.8051      
   4.23700000000E+08;  19.8198      
   4.23750000000E+08;  19.824       
   4.23800000000E+08;  19.8277      
   4.23850000000E+08;  19.8196      
   4.23900000000E+08;  19.8165      
   4.23950000000E+08;  19.8205      
   4.24000000000E+08;  19.8393      
   4.24050000000E+08;  19.8641      
   4.24100000000E+08;  19.8798      
   4.24150000000E+08;  19.9013      
   4.24200000000E+08;  19.9314      
   4.24250000000E+08;  19.9439      
   4.24300000000E+08;  19.9577      
   4.24350000000E+08;  19.9685      
   4.24400000000E+08;  19.9804      
   4.24450000000E+08;  19.9968      
   4.24500000000E+08;  20.0088      
   4.24550000000E+08;  20.0253      
   4.24600000000E+08;  20.0434      
   4.24650000000E+08;  20.0679      
   4.24700000000E+08;  20.0962      
   4.24750000000E+08;  20.1193      
   4.24800000000E+08;  20.1497      
   4.24850000000E+08;  20.1857      
   4.24900000000E+08;  20.2067      
   4.24950000000E+08;  20.212       
   4.25000000000E+08;  20.2225      
   4.25050000000E+08;  20.2288      
   4.25100000000E+08;  20.2388      
   4.25150000000E+08;  20.247       
   4.25200000000E+08;  20.2529      
   4.25250000000E+08;  20.2521      
   4.25300000000E+08;  20.2621      
   4.25350000000E+08;  20.2755      
   4.25400000000E+08;  20.2855      
   4.25450000000E+08;  20.3029      
   4.25500000000E+08;  20.3132      
   4.25550000000E+08;  20.3094      
   4.25600000000E+08;  20.2976      
   4.25650000000E+08;  20.289       
   4.25700000000E+08;  20.2871      
   4.25750000000E+08;  20.2886      
   4.25800000000E+08;  20.2827      
   4.25850000000E+08;  20.284       
   4.25900000000E+08;  20.291       
   4.25950000000E+08;  20.2978      
   4.26000000000E+08;  20.2967      
   4.26050000000E+08;  20.2829      
   4.26100000000E+08;  20.2593      
   4.26150000000E+08;  20.2097      
   4.26200000000E+08;  20.1505      
   4.26250000000E+08;  20.1042      
   4.26300000000E+08;  20.0788      
   4.26350000000E+08;  20.0887      
   4.26400000000E+08;  20.1037      
   4.26450000000E+08;  20.1041      
   4.26500000000E+08;  20.1032      
   4.26550000000E+08;  20.1029      
   4.26600000000E+08;  20.1031      
   4.26650000000E+08;  20.0859      
   4.26700000000E+08;  20.0567      
   4.26750000000E+08;  20.0289      
   4.26800000000E+08;  20.0092      
   4.26850000000E+08;  20.002       
   4.26900000000E+08;  20.0114      
   4.26950000000E+08;  20.0174      
   4.27000000000E+08;  20.0157      
   4.27050000000E+08;  20.0009      
   4.27100000000E+08;  19.9876      
   4.27150000000E+08;  19.9757      
   4.27200000000E+08;  19.962       
   4.27250000000E+08;  19.9527      
   4.27300000000E+08;  19.9347      
   4.27350000000E+08;  19.9121      
   4.27400000000E+08;  19.871       
   4.27450000000E+08;  19.837       
   4.27500000000E+08;  19.8223      
   4.27550000000E+08;  19.8335      
   4.27600000000E+08;  19.844       
   4.27650000000E+08;  19.8525      
   4.27700000000E+08;  19.8545      
   4.27750000000E+08;  19.8513      
   4.27800000000E+08;  19.8462      
   4.27850000000E+08;  19.827       
   4.27900000000E+08;  19.8081      
   4.27950000000E+08;  19.79        
   4.28000000000E+08;  19.7838      
   4.28050000000E+08;  19.7768      
   4.28100000000E+08;  19.7859      
   4.28150000000E+08;  19.8094      
   4.28200000000E+08;  19.8249      
   4.28250000000E+08;  19.8606      
   4.28300000000E+08;  19.8963      
   4.28350000000E+08;  19.9158      
   4.28400000000E+08;  19.9364      
   4.28450000000E+08;  19.9525      
   4.28500000000E+08;  19.9748      
   4.28550000000E+08;  19.9913      
   4.28600000000E+08;  19.9997      
   4.28650000000E+08;  20.0066      
   4.28700000000E+08;  20.0131      
   4.28750000000E+08;  20.0228      
   4.28800000000E+08;  20.0235      
   4.28850000000E+08;  20.0159      
   4.28900000000E+08;  20.0121      
   4.28950000000E+08;  19.995       
   4.29000000000E+08;  19.98        
   4.29050000000E+08;  19.9591      
   4.29100000000E+08;  19.9559      
   4.29150000000E+08;  19.9723      
   4.29200000000E+08;  19.9966      
   4.29250000000E+08;  20.0139      
   4.29300000000E+08;  20.0232      
   4.29350000000E+08;  20.036       
   4.29400000000E+08;  20.0711      
   4.29450000000E+08;  20.1244      
   4.29500000000E+08;  20.1743      
   4.29550000000E+08;  20.2035      
   4.29600000000E+08;  20.2219      
   4.29650000000E+08;  20.2425      
   4.29700000000E+08;  20.2759      
   4.29750000000E+08;  20.319       
   4.29800000000E+08;  20.3476      
   4.29850000000E+08;  20.3639      
   4.29900000000E+08;  20.3776      
   4.29950000000E+08;  20.3784      
   4.30000000000E+08;  20.3633      
   4.30050000000E+08;  20.3516      
   4.30100000000E+08;  20.3514      
   4.30150000000E+08;  20.3589      
   4.30200000000E+08;  20.3727      
   4.30250000000E+08;  20.3828      
   4.30300000000E+08;  20.3835      
   4.30350000000E+08;  20.4002      
   4.30400000000E+08;  20.4061      
   4.30450000000E+08;  20.424       
   4.30500000000E+08;  20.4341      
   4.30550000000E+08;  20.4323      
   4.30600000000E+08;  20.4291      
   4.30650000000E+08;  20.4245      
   4.30700000000E+08;  20.422       
   4.30750000000E+08;  20.4534      
   4.30800000000E+08;  20.4941      
   4.30850000000E+08;  20.5376      
   4.30900000000E+08;  20.5753      
   4.30950000000E+08;  20.624       
   4.31000000000E+08;  20.671       
   4.31050000000E+08;  20.6999      
