
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  1.00000000000E+06     ; 1.00000000000E+09   ; Hz                  ; 1601      ; S21           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; MAGNITUDE           ; dB        ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  S21          
   1.00000000000E+06; -16.516       
   1.62437500000E+06; -30.6249      
   2.24875000000E+06; -22.7572      
   2.87312500000E+06; -33.5727      
   3.49750000000E+06; -33.6315      
   4.12187500000E+06; -37.0552      
   4.74625000000E+06; -38.9418      
   5.37062500000E+06; -33.1861      
   5.99500000000E+06; -32.7273      
   6.61937500000E+06; -32.3315      
   7.24375000000E+06; -34.5379      
   7.86812500000E+06; -44.0171      
   8.49250000000E+06; -48.506       
   9.11687500000E+06; -34.6907      
   9.74125000000E+06; -36.7824      
   1.03656250000E+07; -36.5296      
   1.09900000000E+07; -37.9816      
   1.16143750000E+07; -32.2497      
   1.22387500000E+07; -38.211       
   1.28631250000E+07; -41.8128      
   1.34875000000E+07; -36.3889      
   1.41118750000E+07; -34.3295      
   1.47362500000E+07; -41.9827      
   1.53606250000E+07; -52.6997      
   1.59850000000E+07; -35.4774      
   1.66093750000E+07; -44.6515      
   1.72337500000E+07; -56.2649      
   1.78581250000E+07; -47.6928      
   1.84825000000E+07; -42.6791      
   1.91068750000E+07; -44.4946      
   1.97312500000E+07; -40.9108      
   2.03556250000E+07; -37.2721      
   2.09800000000E+07; -44.1127      
   2.16043750000E+07; -45.6134      
   2.22287500000E+07; -49.0068      
   2.28531250000E+07; -40.6108      
   2.34775000000E+07; -44.0645      
   2.41018750000E+07; -44.7496      
   2.47262500000E+07; -42.344       
   2.53506250000E+07; -46.7528      
   2.59750000000E+07; -47.102       
   2.65993750000E+07; -38.9578      
   2.72237500000E+07; -44.7183      
   2.78481250000E+07; -47.2263      
   2.84725000000E+07; -41.2549      
   2.90968750000E+07; -47.0837      
   2.97212500000E+07; -48.5476      
   3.03456250000E+07; -47.8887      
   3.09700000000E+07; -38.9742      
   3.15943750000E+07; -40.4635      
   3.22187500000E+07; -49.1608      
   3.28431250000E+07; -43.213       
   3.34675000000E+07; -41.9575      
   3.40918750000E+07; -36.1324      
   3.47162500000E+07; -43.9665      
   3.53406250000E+07; -44.2545      
   3.59650000000E+07; -45.553       
   3.65893750000E+07; -47.3032      
   3.72137500000E+07; -40.6797      
   3.78381250000E+07; -50.8404      
   3.84625000000E+07; -41.2463      
   3.90868750000E+07; -41.0466      
   3.97112500000E+07; -49.6547      
   4.03356250000E+07; -43.2341      
   4.09600000000E+07; -24.2466      
   4.15843750000E+07; -37.4116      
   4.22087500000E+07; -42.2916      
   4.28331250000E+07; -56.4396      
   4.34575000000E+07; -43.2127      
   4.40818750000E+07; -41.9898      
   4.47062500000E+07; -41.8777      
   4.53306250000E+07; -40.7372      
   4.59550000000E+07; -36.0944      
   4.65793750000E+07; -44.5995      
   4.72037500000E+07; -42.7492      
   4.78281250000E+07; -39.2793      
   4.84525000000E+07; -38.0193      
   4.90768750000E+07; -40.9716      
   4.97012500000E+07; -39.9357      
   5.03256250000E+07; -40.6985      
   5.09500000000E+07; -37.7343      
   5.15743750000E+07; -39.6495      
   5.21987500000E+07; -39.5465      
   5.28231250000E+07; -39.7842      
   5.34475000000E+07; -39.8702      
   5.40718750000E+07; -41.1667      
   5.46962500000E+07; -42.9744      
   5.53206250000E+07; -40.701       
   5.59450000000E+07; -43.1943      
   5.65693750000E+07; -39.0816      
   5.71937500000E+07; -40.7849      
   5.78181250000E+07; -38.6454      
   5.84425000000E+07; -40.0623      
   5.90668750000E+07; -41.2405      
   5.96912500000E+07; -41.2441      
   6.03156250000E+07; -39.2435      
   6.09400000000E+07; -41.2088      
   6.15643750000E+07; -40.4669      
   6.21887500000E+07; -44.5123      
   6.28131250000E+07; -36.8551      
   6.34375000000E+07; -39.3925      
   6.40618750000E+07; -38.8479      
   6.46862500000E+07; -37.4696      
   6.53106250000E+07; -39.3387      
   6.59350000000E+07; -43.6507      
   6.65593750000E+07; -36.509       
   6.71837500000E+07; -40.0783      
   6.78081250000E+07; -40.9037      
   6.84325000000E+07; -38.0861      
   6.90568750000E+07; -42.4652      
   6.96812500000E+07; -38.8462      
   7.03056250000E+07; -38.341       
   7.09300000000E+07; -39.6848      
   7.15543750000E+07; -39.7459      
   7.21787500000E+07; -40.1895      
   7.28031250000E+07; -36.5047      
   7.34275000000E+07; -38.8861      
   7.40518750000E+07; -38.2614      
   7.46762500000E+07; -39.9021      
   7.53006250000E+07; -41.0262      
   7.59250000000E+07; -39.5125      
   7.65493750000E+07; -38.0404      
   7.71737500000E+07; -41.305       
   7.77981250000E+07; -39.957       
   7.84225000000E+07; -38.3841      
   7.90468750000E+07; -40.0892      
   7.96712500000E+07; -39.3122      
   8.02956250000E+07; -42.501       
   8.09200000000E+07; -36.3458      
   8.15443750000E+07; -37.4671      
   8.21687500000E+07; -42.4271      
   8.27931250000E+07; -39.3789      
   8.34175000000E+07; -41.9739      
   8.40418750000E+07; -37.0972      
   8.46662500000E+07; -40.5075      
   8.52906250000E+07; -40.5809      
   8.59150000000E+07; -40.095       
   8.65393750000E+07; -38.8482      
   8.71637500000E+07; -40.5879      
   8.77881250000E+07; -38.2776      
   8.84125000000E+07; -38.6259      
   8.90368750000E+07; -37.4244      
   8.96612500000E+07; -39.3089      
   9.02856250000E+07; -36.0906      
   9.09100000000E+07; -40.7638      
   9.15343750000E+07; -44.6954      
   9.21587500000E+07; -39.4084      
   9.27831250000E+07; -43.9732      
   9.34075000000E+07; -38.4448      
   9.40318750000E+07; -39.1035      
   9.46562500000E+07; -42.2925      
   9.52806250000E+07; -40.2699      
   9.59050000000E+07; -37.1235      
   9.65293750000E+07; -39.5619      
   9.71537500000E+07; -39.5596      
   9.77781250000E+07; -37.3876      
   9.84025000000E+07; -38.8331      
   9.90268750000E+07; -39.0818      
   9.96512500000E+07; -39.3253      
   1.00275625000E+08; -38.5368      
   1.00900000000E+08; -41.6877      
   1.01524375000E+08; -38.9253      
   1.02148750000E+08; -37.0448      
   1.02773125000E+08; -40.1654      
   1.03397500000E+08; -39.5981      
   1.04021875000E+08; -37.4596      
   1.04646250000E+08; -40.7694      
   1.05270625000E+08; -40.4401      
   1.05895000000E+08; -38.3047      
   1.06519375000E+08; -39.5884      
   1.07143750000E+08; -38.1504      
   1.07768125000E+08; -37.4296      
   1.08392500000E+08; -38.8503      
   1.09016875000E+08; -39.2269      
   1.09641250000E+08; -39.4865      
   1.10265625000E+08; -40.1234      
   1.10890000000E+08; -38.8686      
   1.11514375000E+08; -39.7183      
   1.12138750000E+08; -39.1694      
   1.12763125000E+08; -38.4417      
   1.13387500000E+08; -36.8496      
   1.14011875000E+08; -38.4908      
   1.14636250000E+08; -38.3148      
   1.15260625000E+08; -38.7893      
   1.15885000000E+08; -39.5293      
   1.16509375000E+08; -39.0792      
   1.17133750000E+08; -39.3185      
   1.17758125000E+08; -38.6167      
   1.18382500000E+08; -40.9114      
   1.19006875000E+08; -41.8568      
   1.19631250000E+08; -39.7873      
   1.20255625000E+08; -40.3974      
   1.20880000000E+08; -40.3313      
   1.21504375000E+08; -39.4803      
   1.22128750000E+08; -41.1019      
   1.22753125000E+08; -39.0324      
   1.23377500000E+08; -39.7491      
   1.24001875000E+08; -40.2929      
   1.24626250000E+08; -39.0409      
   1.25250625000E+08; -39.1002      
   1.25875000000E+08; -38.8087      
   1.26499375000E+08; -37.2542      
   1.27123750000E+08; -40.1972      
   1.27748125000E+08; -41.5177      
   1.28372500000E+08; -39.0618      
   1.28996875000E+08; -37.124       
   1.29621250000E+08; -39.4364      
   1.30245625000E+08; -39.0975      
   1.30870000000E+08; -39.3899      
   1.31494375000E+08; -40.2182      
   1.32118750000E+08; -37.8631      
   1.32743125000E+08; -40.0004      
   1.33367500000E+08; -37.6817      
   1.33991875000E+08; -38.9402      
   1.34616250000E+08; -40.5497      
   1.35240625000E+08; -40.0557      
   1.35865000000E+08; -38.6327      
   1.36489375000E+08; -37.5151      
   1.37113750000E+08; -37.708       
   1.37738125000E+08; -38.3193      
   1.38362500000E+08; -39.3895      
   1.38986875000E+08; -40.7448      
   1.39611250000E+08; -38.9359      
   1.40235625000E+08; -37.8242      
   1.40860000000E+08; -37.0258      
   1.41484375000E+08; -40.5712      
   1.42108750000E+08; -40.3359      
   1.42733125000E+08; -38.9981      
   1.43357500000E+08; -39.4407      
   1.43981875000E+08; -40.1049      
   1.44606250000E+08; -38.4614      
   1.45230625000E+08; -40.6248      
   1.45855000000E+08; -38.9568      
   1.46479375000E+08; -39.7994      
   1.47103750000E+08; -39.2201      
   1.47728125000E+08; -37.8617      
   1.48352500000E+08; -40.0723      
   1.48976875000E+08; -40.754       
   1.49601250000E+08; -40.4713      
   1.50225625000E+08; -39.0489      
   1.50850000000E+08; -39.7766      
   1.51474375000E+08; -38.5854      
   1.52098750000E+08; -38.9189      
   1.52723125000E+08; -38.8273      
   1.53347500000E+08; -38.0409      
   1.53971875000E+08; -40.2324      
   1.54596250000E+08; -39.9805      
   1.55220625000E+08; -38.292       
   1.55845000000E+08; -39.5612      
   1.56469375000E+08; -39.0253      
   1.57093750000E+08; -40.6381      
   1.57718125000E+08; -39.0046      
   1.58342500000E+08; -39.2915      
   1.58966875000E+08; -40.3079      
   1.59591250000E+08; -39.1542      
   1.60215625000E+08; -39.6884      
   1.60840000000E+08; -39.0432      
   1.61464375000E+08; -39.1439      
   1.62088750000E+08; -39.8311      
   1.62713125000E+08; -38.1424      
   1.63337500000E+08; -38.8238      
   1.63961875000E+08; -38.9182      
   1.64586250000E+08; -39.0733      
   1.65210625000E+08; -38.9698      
   1.65835000000E+08; -37.6821      
   1.66459375000E+08; -39.1111      
   1.67083750000E+08; -39.6999      
   1.67708125000E+08; -37.5257      
   1.68332500000E+08; -37.3778      
   1.68956875000E+08; -40.7101      
   1.69581250000E+08; -40.6083      
   1.70205625000E+08; -39.4498      
   1.70830000000E+08; -36.5513      
   1.71454375000E+08; -38.8199      
   1.72078750000E+08; -38.2444      
   1.72703125000E+08; -37.6067      
   1.73327500000E+08; -40.8169      
   1.73951875000E+08; -41.4327      
   1.74576250000E+08; -38.4953      
   1.75200625000E+08; -41.7731      
   1.75825000000E+08; -40.5153      
   1.76449375000E+08; -40.0647      
   1.77073750000E+08; -38.355       
   1.77698125000E+08; -38.6814      
   1.78322500000E+08; -37.6199      
   1.78946875000E+08; -39.8731      
   1.79571250000E+08; -39.9196      
   1.80195625000E+08; -39.6176      
   1.80820000000E+08; -39.9809      
   1.81444375000E+08; -38.5853      
   1.82068750000E+08; -38.9142      
   1.82693125000E+08; -39.9735      
   1.83317500000E+08; -38.4404      
   1.83941875000E+08; -40.4363      
   1.84566250000E+08; -38.7097      
   1.85190625000E+08; -40.5365      
   1.85815000000E+08; -38.846       
   1.86439375000E+08; -40.2597      
   1.87063750000E+08; -38.5028      
   1.87688125000E+08; -39.4478      
   1.88312500000E+08; -40.3677      
   1.88936875000E+08; -40.1423      
   1.89561250000E+08; -39.3725      
   1.90185625000E+08; -40.0476      
   1.90810000000E+08; -39.8447      
   1.91434375000E+08; -38.5096      
   1.92058750000E+08; -39.1259      
   1.92683125000E+08; -38.9113      
   1.93307500000E+08; -38.9377      
   1.93931875000E+08; -40.7432      
   1.94556250000E+08; -38.9031      
   1.95180625000E+08; -40.381       
   1.95805000000E+08; -40.3754      
   1.96429375000E+08; -40.0104      
   1.97053750000E+08; -37.7965      
   1.97678125000E+08; -38.3173      
   1.98302500000E+08; -37.932       
   1.98926875000E+08; -39.0109      
   1.99551250000E+08; -39.3015      
   2.00175625000E+08; -37.8447      
   2.00800000000E+08; -37.6132      
   2.01424375000E+08; -37.919       
   2.02048750000E+08; -37.2924      
   2.02673125000E+08; -37.7158      
   2.03297500000E+08; -37.9339      
   2.03921875000E+08; -37.9697      
   2.04546250000E+08; -38.6769      
   2.05170625000E+08; -37.013       
   2.05795000000E+08; -37.2235      
   2.06419375000E+08; -37.6513      
   2.07043750000E+08; -38.9861      
   2.07668125000E+08; -38.9346      
   2.08292500000E+08; -40.4067      
   2.08916875000E+08; -39.2686      
   2.09541250000E+08; -38.6467      
   2.10165625000E+08; -38.6286      
   2.10790000000E+08; -38.6654      
   2.11414375000E+08; -38.1761      
   2.12038750000E+08; -38.2115      
   2.12663125000E+08; -38.2436      
   2.13287500000E+08; -39.372       
   2.13911875000E+08; -38.1728      
   2.14536250000E+08; -38.8855      
   2.15160625000E+08; -39.6132      
   2.15785000000E+08; -38.8662      
   2.16409375000E+08; -38.3717      
   2.17033750000E+08; -38.5093      
   2.17658125000E+08; -38.0467      
   2.18282500000E+08; -37.2387      
   2.18906875000E+08; -37.5955      
   2.19531250000E+08; -38.1803      
   2.20155625000E+08; -39.6721      
   2.20780000000E+08; -38.3629      
   2.21404375000E+08; -38.2278      
   2.22028750000E+08; -37.6346      
   2.22653125000E+08; -39.2999      
   2.23277500000E+08; -38.7437      
   2.23901875000E+08; -39.433       
   2.24526250000E+08; -38.4529      
   2.25150625000E+08; -37.7504      
   2.25775000000E+08; -38.3557      
   2.26399375000E+08; -38.9759      
   2.27023750000E+08; -38.2493      
   2.27648125000E+08; -38.0964      
   2.28272500000E+08; -38.6566      
   2.28896875000E+08; -39.1881      
   2.29521250000E+08; -38.4211      
   2.30145625000E+08; -38.867       
   2.30770000000E+08; -38.8574      
   2.31394375000E+08; -38.2722      
   2.32018750000E+08; -38.7612      
   2.32643125000E+08; -37.7288      
   2.33267500000E+08; -38.4926      
   2.33891875000E+08; -39.1321      
   2.34516250000E+08; -39.0105      
   2.35140625000E+08; -38.7018      
   2.35765000000E+08; -37.7543      
   2.36389375000E+08; -38.8783      
   2.37013750000E+08; -39.0511      
   2.37638125000E+08; -38.4668      
   2.38262500000E+08; -38.6216      
   2.38886875000E+08; -38.6157      
   2.39511250000E+08; -39.1647      
   2.40135625000E+08; -38.0804      
   2.40760000000E+08; -37.9655      
   2.41384375000E+08; -38.4965      
   2.42008750000E+08; -39.0637      
   2.42633125000E+08; -38.1019      
   2.43257500000E+08; -38.3175      
   2.43881875000E+08; -38.4882      
   2.44506250000E+08; -38.5221      
   2.45130625000E+08; -40.0027      
   2.45755000000E+08; -39.334       
   2.46379375000E+08; -38.9885      
   2.47003750000E+08; -39.0503      
   2.47628125000E+08; -38.657       
   2.48252500000E+08; -37.7814      
   2.48876875000E+08; -39.1812      
   2.49501250000E+08; -37.893       
   2.50125625000E+08; -39.0301      
   2.50750000000E+08; -38.8918      
   2.51374375000E+08; -38.2112      
   2.51998750000E+08; -37.6948      
   2.52623125000E+08; -38.263       
   2.53247500000E+08; -37.7368      
   2.53871875000E+08; -37.4857      
   2.54496250000E+08; -39.6061      
   2.55120625000E+08; -38.7735      
   2.55745000000E+08; -38.1657      
   2.56369375000E+08; -39.3619      
   2.56993750000E+08; -39.2759      
   2.57618125000E+08; -37.7959      
   2.58242500000E+08; -38.321       
   2.58866875000E+08; -39.1451      
   2.59491250000E+08; -37.7048      
   2.60115625000E+08; -40.3292      
   2.60740000000E+08; -39.9571      
   2.61364375000E+08; -40.1622      
   2.61988750000E+08; -40.2176      
   2.62613125000E+08; -39.6357      
   2.63237500000E+08; -39.3024      
   2.63861875000E+08; -40.0832      
   2.64486250000E+08; -39.1319      
   2.65110625000E+08; -39.6297      
   2.65735000000E+08; -40.5088      
   2.66359375000E+08; -38.9944      
   2.66983750000E+08; -39.4241      
   2.67608125000E+08; -38.9697      
   2.68232500000E+08; -38.3415      
   2.68856875000E+08; -40.0004      
   2.69481250000E+08; -37.007       
   2.70105625000E+08; -39.2473      
   2.70730000000E+08; -39.5709      
   2.71354375000E+08; -38.5857      
   2.71978750000E+08; -38.4876      
   2.72603125000E+08; -37.8218      
   2.73227500000E+08; -37.5278      
   2.73851875000E+08; -38.5378      
   2.74476250000E+08; -39.4954      
   2.75100625000E+08; -38.0291      
   2.75725000000E+08; -38.8588      
   2.76349375000E+08; -39.1538      
   2.76973750000E+08; -38.8508      
   2.77598125000E+08; -39.5144      
   2.78222500000E+08; -38.535       
   2.78846875000E+08; -38.718       
   2.79471250000E+08; -37.8334      
   2.80095625000E+08; -38.6315      
   2.80720000000E+08; -38.5206      
   2.81344375000E+08; -38.4562      
   2.81968750000E+08; -38.7691      
   2.82593125000E+08; -38.108       
   2.83217500000E+08; -38.1857      
   2.83841875000E+08; -38.5602      
   2.84466250000E+08; -38.8177      
   2.85090625000E+08; -38.0437      
   2.85715000000E+08; -38.3963      
   2.86339375000E+08; -38.084       
   2.86963750000E+08; -37.2607      
   2.87588125000E+08; -37.4736      
   2.88212500000E+08; -37.7156      
   2.88836875000E+08; -37.8281      
   2.89461250000E+08; -37.3964      
   2.90085625000E+08; -37.6823      
   2.90710000000E+08; -36.0609      
   2.91334375000E+08; -37.6773      
   2.91958750000E+08; -37.4436      
   2.92583125000E+08; -39.1375      
   2.93207500000E+08; -37.9317      
   2.93831875000E+08; -38.1624      
   2.94456250000E+08; -37.7314      
   2.95080625000E+08; -37.7323      
   2.95705000000E+08; -39.1487      
   2.96329375000E+08; -37.2707      
   2.96953750000E+08; -38.7201      
   2.97578125000E+08; -37.7617      
   2.98202500000E+08; -38.8111      
   2.98826875000E+08; -38.2485      
   2.99451250000E+08; -37.3585      
   3.00075625000E+08; -38.5421      
   3.00700000000E+08; -38.7201      
   3.01324375000E+08; -39.275       
   3.01948750000E+08; -39.4028      
   3.02573125000E+08; -38.3103      
   3.03197500000E+08; -38.5274      
   3.03821875000E+08; -37.8272      
   3.04446250000E+08; -38.1129      
   3.05070625000E+08; -38.3003      
   3.05695000000E+08; -39.0789      
   3.06319375000E+08; -38.4211      
   3.06943750000E+08; -37.7902      
   3.07568125000E+08; -38.8541      
   3.08192500000E+08; -38.2152      
   3.08816875000E+08; -37.4173      
   3.09441250000E+08; -38.9119      
   3.10065625000E+08; -39.5293      
   3.10690000000E+08; -38.3561      
   3.11314375000E+08; -37.3974      
   3.11938750000E+08; -37.6145      
   3.12563125000E+08; -39.1451      
   3.13187500000E+08; -37.5452      
   3.13811875000E+08; -39.6224      
   3.14436250000E+08; -38.634       
   3.15060625000E+08; -36.4959      
   3.15685000000E+08; -36.9826      
   3.16309375000E+08; -37.6848      
   3.16933750000E+08; -38.0016      
   3.17558125000E+08; -37.5104      
   3.18182500000E+08; -36.879       
   3.18806875000E+08; -37.6275      
   3.19431250000E+08; -37.6304      
   3.20055625000E+08; -36.8182      
   3.20680000000E+08; -37.3349      
   3.21304375000E+08; -37.664       
   3.21928750000E+08; -37.6126      
   3.22553125000E+08; -36.6291      
   3.23177500000E+08; -36.8891      
   3.23801875000E+08; -36.455       
   3.24426250000E+08; -37.1232      
   3.25050625000E+08; -38.5675      
   3.25675000000E+08; -38.4529      
   3.26299375000E+08; -37.553       
   3.26923750000E+08; -38.717       
   3.27548125000E+08; -38.2988      
   3.28172500000E+08; -39.8606      
   3.28796875000E+08; -39.1361      
   3.29421250000E+08; -38.8296      
   3.30045625000E+08; -39.7418      
   3.30670000000E+08; -38.5181      
   3.31294375000E+08; -40.1781      
   3.31918750000E+08; -37.7555      
   3.32543125000E+08; -38.7525      
   3.33167500000E+08; -38.1377      
   3.33791875000E+08; -37.823       
   3.34416250000E+08; -37.741       
   3.35040625000E+08; -38.7258      
   3.35665000000E+08; -38.4587      
   3.36289375000E+08; -38.0253      
   3.36913750000E+08; -37.6386      
   3.37538125000E+08; -37.361       
   3.38162500000E+08; -38.4012      
   3.38786875000E+08; -38.5807      
   3.39411250000E+08; -38.6689      
   3.40035625000E+08; -39.2367      
   3.40660000000E+08; -38.6859      
   3.41284375000E+08; -38.6693      
   3.41908750000E+08; -38.9881      
   3.42533125000E+08; -38.7221      
   3.43157500000E+08; -39.0569      
   3.43781875000E+08; -39.868       
   3.44406250000E+08; -37.0562      
   3.45030625000E+08; -37.4806      
   3.45655000000E+08; -38.5029      
   3.46279375000E+08; -39.371       
   3.46903750000E+08; -39.2411      
   3.47528125000E+08; -37.8895      
   3.48152500000E+08; -36.9528      
   3.48776875000E+08; -37.0961      
   3.49401250000E+08; -38.7824      
   3.50025625000E+08; -37.623       
   3.50650000000E+08; -35.6456      
   3.51274375000E+08; -36.7862      
   3.51898750000E+08; -37.003       
   3.52523125000E+08; -38.1935      
   3.53147500000E+08; -35.8088      
   3.53771875000E+08; -37.0761      
   3.54396250000E+08; -37.0711      
   3.55020625000E+08; -35.9758      
   3.55645000000E+08; -37.3471      
   3.56269375000E+08; -37.1646      
   3.56893750000E+08; -37.8324      
   3.57518125000E+08; -37.7966      
   3.58142500000E+08; -37.8081      
   3.58766875000E+08; -37.4375      
   3.59391250000E+08; -38.26        
   3.60015625000E+08; -38.2196      
   3.60640000000E+08; -38.9687      
   3.61264375000E+08; -38.1405      
   3.61888750000E+08; -38.6829      
   3.62513125000E+08; -38.6125      
   3.63137500000E+08; -38.8195      
   3.63761875000E+08; -37.1921      
   3.64386250000E+08; -38.0497      
   3.65010625000E+08; -37.5955      
   3.65635000000E+08; -37.5309      
   3.66259375000E+08; -37.2388      
   3.66883750000E+08; -36.8848      
   3.67508125000E+08; -36.4499      
   3.68132500000E+08; -37.3067      
   3.68756875000E+08; -36.1597      
   3.69381250000E+08; -36.2338      
   3.70005625000E+08; -35.5417      
   3.70630000000E+08; -37.9154      
   3.71254375000E+08; -36.8425      
   3.71878750000E+08; -36.6044      
   3.72503125000E+08; -37.593       
   3.73127500000E+08; -37.4705      
   3.73751875000E+08; -37.5844      
   3.74376250000E+08; -39.4756      
   3.75000625000E+08; -38.9119      
   3.75625000000E+08; -39.268       
   3.76249375000E+08; -38.657       
   3.76873750000E+08; -37.2405      
   3.77498125000E+08; -37.2841      
   3.78122500000E+08; -37.3769      
   3.78746875000E+08; -40.0458      
   3.79371250000E+08; -39.1285      
   3.79995625000E+08; -35.7615      
   3.80620000000E+08; -36.6057      
   3.81244375000E+08; -37.2734      
   3.81868750000E+08; -36.9478      
   3.82493125000E+08; -36.2458      
   3.83117500000E+08; -34.7413      
   3.83741875000E+08; -35.9229      
   3.84366250000E+08; -36.0597      
   3.84990625000E+08; -34.9968      
   3.85615000000E+08; -36.4243      
   3.86239375000E+08; -34.2441      
   3.86863750000E+08; -35.6363      
   3.87488125000E+08; -36.0357      
   3.88112500000E+08; -37.2559      
   3.88736875000E+08; -37.1339      
