
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  4.00000000000E+08     ; 4.80000000000E+08   ; Hz                  ; 401       ; S21           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; MAGNITUDE           ; dB        ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  S21          
   4.00000000000E+08; -58.6927      
   4.00200000000E+08; -72.0542      
   4.00400000000E+08; -58.7215      
   4.00600000000E+08; -73.613       
   4.00800000000E+08; -59.9268      
   4.01000000000E+08; -54.5088      
   4.01200000000E+08; -71.2275      
   4.01400000000E+08; -67.1529      
   4.01600000000E+08; -56.6469      
   4.01800000000E+08; -62.6168      
   4.02000000000E+08; -60.7502      
   4.02200000000E+08; -63.1522      
   4.02400000000E+08; -62.9579      
   4.02600000000E+08; -63.3283      
   4.02800000000E+08; -57.84        
   4.03000000000E+08; -71.8842      
   4.03200000000E+08; -60.8997      
   4.03400000000E+08; -60.8734      
   4.03600000000E+08; -56.9429      
   4.03800000000E+08; -63.6837      
   4.04000000000E+08; -62.8845      
   4.04200000000E+08; -66.8141      
   4.04400000000E+08; -61.7744      
   4.04600000000E+08; -59.7051      
   4.04800000000E+08; -64.9621      
   4.05000000000E+08; -59.8527      
   4.05200000000E+08; -61.356       
   4.05400000000E+08; -67.2718      
   4.05600000000E+08; -62.4124      
   4.05800000000E+08; -60.4643      
   4.06000000000E+08; -61.5044      
   4.06200000000E+08; -70.0836      
   4.06400000000E+08; -55.558       
   4.06600000000E+08; -66.0181      
   4.06800000000E+08; -66.5219      
   4.07000000000E+08; -57.6875      
   4.07200000000E+08; -56.2406      
   4.07400000000E+08; -65.3507      
   4.07600000000E+08; -59.6979      
   4.07800000000E+08; -72.5108      
   4.08000000000E+08; -66.5293      
   4.08200000000E+08; -61.0203      
   4.08400000000E+08; -55.0011      
   4.08600000000E+08; -55.4119      
   4.08800000000E+08; -63.3695      
   4.09000000000E+08; -61.6597      
   4.09200000000E+08; -63.5267      
   4.09400000000E+08; -58.916       
   4.09600000000E+08; -66.4586      
   4.09800000000E+08; -80.4941      
   4.10000000000E+08; -61.8495      
   4.10200000000E+08; -64.3498      
   4.10400000000E+08; -56.6694      
   4.10600000000E+08; -58.3865      
   4.10800000000E+08; -63.5404      
   4.11000000000E+08; -54.4256      
   4.11200000000E+08; -63.884       
   4.11400000000E+08; -53.9571      
   4.11600000000E+08; -60.9967      
   4.11800000000E+08; -59.6258      
   4.12000000000E+08; -67.9271      
   4.12200000000E+08; -70.6264      
   4.12400000000E+08; -59.8995      
   4.12600000000E+08; -69.5622      
   4.12800000000E+08; -66.457       
   4.13000000000E+08; -60.9099      
   4.13200000000E+08; -53.9496      
   4.13400000000E+08; -74.2843      
   4.13600000000E+08; -59.1356      
   4.13800000000E+08; -90.3086      
   4.14000000000E+08; -57.3548      
   4.14200000000E+08; -60.8482      
   4.14400000000E+08; -58.9852      
   4.14600000000E+08; -62.1351      
   4.14800000000E+08; -68.9139      
   4.15000000000E+08; -56.5847      
   4.15200000000E+08; -56.3241      
   4.15400000000E+08; -69.3206      
   4.15600000000E+08; -59.8636      
   4.15800000000E+08; -59.235       
   4.16000000000E+08; -57.3762      
   4.16200000000E+08; -60.0319      
   4.16400000000E+08; -54.9544      
   4.16600000000E+08; -55.5121      
   4.16800000000E+08; -62.6915      
   4.17000000000E+08; -56.9944      
   4.17200000000E+08; -62.7125      
   4.17400000000E+08; -72.5377      
   4.17600000000E+08; -59.0704      
   4.17800000000E+08; -64.3794      
   4.18000000000E+08; -58.3759      
   4.18200000000E+08; -60.4359      
   4.18400000000E+08; -62.6907      
   4.18600000000E+08; -57.0011      
   4.18800000000E+08; -60.537       
   4.19000000000E+08; -56.4677      
   4.19200000000E+08; -62.8064      
   4.19400000000E+08; -65.0109      
   4.19600000000E+08; -62.033       
   4.19800000000E+08; -58.5257      
   4.20000000000E+08; -68.0466      
   4.20200000000E+08; -52.2267      
   4.20400000000E+08; -55.8853      
   4.20600000000E+08; -60.701       
   4.20800000000E+08; -65.829       
   4.21000000000E+08; -63.0231      
   4.21200000000E+08; -67.9382      
   4.21400000000E+08; -58.0379      
   4.21600000000E+08; -55.0753      
   4.21800000000E+08; -46.3648      
   4.22000000000E+08; -40.3811      
   4.22200000000E+08; -36.9302      
   4.22400000000E+08; -35.218       
   4.22600000000E+08; -34.7461      
   4.22800000000E+08; -34.7914      
   4.23000000000E+08; -33.1972      
   4.23200000000E+08; -32.7197      
   4.23400000000E+08; -32.4745      
   4.23600000000E+08; -32.5134      
   4.23800000000E+08; -32.3141      
   4.24000000000E+08; -32.8065      
   4.24200000000E+08; -32.4725      
   4.24400000000E+08; -32.7786      
   4.24600000000E+08; -33.5913      
   4.24800000000E+08; -33.3999      
   4.25000000000E+08; -33.2094      
   4.25200000000E+08; -33.3727      
   4.25400000000E+08; -32.7035      
   4.25600000000E+08; -33.3271      
   4.25800000000E+08; -32.9246      
   4.26000000000E+08; -32.248       
   4.26200000000E+08; -32.1232      
   4.26400000000E+08; -31.884       
   4.26600000000E+08; -31.1413      
   4.26800000000E+08; -31.2623      
   4.27000000000E+08; -31.2039      
   4.27200000000E+08; -30.5454      
   4.27400000000E+08; -30.6947      
   4.27600000000E+08; -30.669       
   4.27800000000E+08; -30.3885      
   4.28000000000E+08; -30.0738      
   4.28200000000E+08; -30.2681      
   4.28400000000E+08; -30.6358      
   4.28600000000E+08; -30.557       
   4.28800000000E+08; -30.9602      
   4.29000000000E+08; -30.9039      
   4.29200000000E+08; -31.2993      
   4.29400000000E+08; -31.5396      
   4.29600000000E+08; -31.1676      
   4.29800000000E+08; -31.4058      
   4.30000000000E+08; -31.533       
   4.30200000000E+08; -31.2281      
   4.30400000000E+08; -31.5039      
   4.30600000000E+08; -31.2531      
   4.30800000000E+08; -31.3267      
   4.31000000000E+08; -31.3703      
   4.31200000000E+08; -31.1007      
   4.31400000000E+08; -31.091       
   4.31600000000E+08; -30.7989      
   4.31800000000E+08; -30.8678      
   4.32000000000E+08; -30.4071      
   4.32200000000E+08; -30.5336      
   4.32400000000E+08; -30.5161      
   4.32600000000E+08; -30.1812      
   4.32800000000E+08; -30.0163      
   4.33000000000E+08; -29.5554      
   4.33200000000E+08; -29.667       
   4.33400000000E+08; -29.2187      
   4.33600000000E+08; -28.9328      
   4.33800000000E+08; -28.9701      
   4.34000000000E+08; -28.8392      
   4.34200000000E+08; -28.9897      
   4.34400000000E+08; -28.9944      
   4.34600000000E+08; -29.0885      
   4.34800000000E+08; -29.5253      
   4.35000000000E+08; -29.0377      
   4.35200000000E+08; -29.216       
   4.35400000000E+08; -29.2681      
   4.35600000000E+08; -29.2954      
   4.35800000000E+08; -29.716       
   4.36000000000E+08; -30.3349      
   4.36200000000E+08; -30.3487      
   4.36400000000E+08; -30.4163      
   4.36600000000E+08; -30.4934      
   4.36800000000E+08; -30.7642      
   4.37000000000E+08; -30.8478      
   4.37200000000E+08; -31.6942      
   4.37400000000E+08; -31.9094      
   4.37600000000E+08; -31.5075      
   4.37800000000E+08; -31.7775      
   4.38000000000E+08; -31.5555      
   4.38200000000E+08; -31.5872      
   4.38400000000E+08; -31.9279      
   4.38600000000E+08; -31.6341      
   4.38800000000E+08; -31.658       
   4.39000000000E+08; -31.7322      
   4.39200000000E+08; -31.8307      
   4.39400000000E+08; -31.7489      
   4.39600000000E+08; -31.4396      
   4.39800000000E+08; -31.398       
   4.40000000000E+08; -30.9593      
   4.40200000000E+08; -30.7331      
   4.40400000000E+08; -31.3206      
   4.40600000000E+08; -30.5699      
   4.40800000000E+08; -30.6147      
   4.41000000000E+08; -30.3951      
   4.41200000000E+08; -30.06        
   4.41400000000E+08; -29.7798      
   4.41600000000E+08; -29.7703      
   4.41800000000E+08; -30.0197      
   4.42000000000E+08; -29.6103      
   4.42200000000E+08; -29.1451      
   4.42400000000E+08; -28.9052      
   4.42600000000E+08; -29.0661      
   4.42800000000E+08; -29.3386      
   4.43000000000E+08; -29.0448      
   4.43200000000E+08; -29.2042      
   4.43400000000E+08; -29.3746      
   4.43600000000E+08; -29.4386      
   4.43800000000E+08; -28.5739      
   4.44000000000E+08; -28.7283      
   4.44200000000E+08; -28.9549      
   4.44400000000E+08; -28.8516      
   4.44600000000E+08; -28.8949      
   4.44800000000E+08; -29.1293      
   4.45000000000E+08; -28.8964      
   4.45200000000E+08; -29.159       
   4.45400000000E+08; -29.4369      
   4.45600000000E+08; -29.1651      
   4.45800000000E+08; -28.9688      
   4.46000000000E+08; -28.9353      
   4.46200000000E+08; -28.4         
   4.46400000000E+08; -27.7163      
   4.46600000000E+08; -27.2468      
   4.46800000000E+08; -26.893       
   4.47000000000E+08; -26.5472      
   4.47200000000E+08; -25.7128      
   4.47400000000E+08; -24.9135      
   4.47600000000E+08; -24.301       
   4.47800000000E+08; -24.8937      
   4.48000000000E+08; -26.4057      
   4.48200000000E+08; -28.646       
   4.48400000000E+08; -29.7452      
   4.48600000000E+08; -30.4361      
   4.48800000000E+08; -31.7365      
   4.49000000000E+08; -33.5713      
   4.49200000000E+08; -35.139       
   4.49400000000E+08; -36.8366      
   4.49600000000E+08; -38.0903      
   4.49800000000E+08; -39.0155      
   4.50000000000E+08; -40.6255      
   4.50200000000E+08; -41.9295      
   4.50400000000E+08; -41.7337      
   4.50600000000E+08; -44.5884      
   4.50800000000E+08; -45.2087      
   4.51000000000E+08; -44.9696      
   4.51200000000E+08; -44.6379      
   4.51400000000E+08; -47.2921      
   4.51600000000E+08; -46.5978      
   4.51800000000E+08; -49.8301      
   4.52000000000E+08; -46.9248      
   4.52200000000E+08; -47.3381      
   4.52400000000E+08; -47.4714      
   4.52600000000E+08; -48.4384      
   4.52800000000E+08; -48.3097      
   4.53000000000E+08; -47.7497      
   4.53200000000E+08; -50.131       
   4.53400000000E+08; -50.0256      
   4.53600000000E+08; -46.9131      
   4.53800000000E+08; -52.0197      
   4.54000000000E+08; -50.6041      
   4.54200000000E+08; -50.0676      
   4.54400000000E+08; -52.6034      
   4.54600000000E+08; -49.7303      
   4.54800000000E+08; -50.607       
   4.55000000000E+08; -50.5046      
   4.55200000000E+08; -52.6233      
   4.55400000000E+08; -54.3682      
   4.55600000000E+08; -52.7011      
   4.55800000000E+08; -51.5724      
   4.56000000000E+08; -69.5858      
   4.56200000000E+08; -51.3897      
   4.56400000000E+08; -52.0942      
   4.56600000000E+08; -56.2752      
   4.56800000000E+08; -47.9943      
   4.57000000000E+08; -49.567       
   4.57200000000E+08; -48.1868      
   4.57400000000E+08; -53.5786      
   4.57600000000E+08; -50.5972      
   4.57800000000E+08; -58.4442      
   4.58000000000E+08; -55.1027      
   4.58200000000E+08; -49.7663      
   4.58400000000E+08; -57.139       
   4.58600000000E+08; -54.5889      
   4.58800000000E+08; -49.9278      
   4.59000000000E+08; -51.8372      
   4.59200000000E+08; -52.1449      
   4.59400000000E+08; -52.7576      
   4.59600000000E+08; -50.0118      
   4.59800000000E+08; -51.6435      
   4.60000000000E+08; -50.9004      
   4.60200000000E+08; -51.9371      
   4.60400000000E+08; -54.1575      
   4.60600000000E+08; -52.7691      
   4.60800000000E+08; -49.2544      
   4.61000000000E+08; -47.9063      
   4.61200000000E+08; -52.6145      
   4.61400000000E+08; -52.4532      
   4.61600000000E+08; -49.6588      
   4.61800000000E+08; -59.8346      
   4.62000000000E+08; -51.5146      
   4.62200000000E+08; -51.4766      
   4.62400000000E+08; -54.5434      
   4.62600000000E+08; -55.8105      
   4.62800000000E+08; -50.5817      
   4.63000000000E+08; -52.049       
   4.63200000000E+08; -56.1266      
   4.63400000000E+08; -52.6857      
   4.63600000000E+08; -51.1266      
   4.63800000000E+08; -54.9675      
   4.64000000000E+08; -56.7041      
   4.64200000000E+08; -49.7897      
   4.64400000000E+08; -56.1285      
   4.64600000000E+08; -51.5593      
   4.64800000000E+08; -50.4618      
   4.65000000000E+08; -52.3614      
   4.65200000000E+08; -51.6251      
   4.65400000000E+08; -56.1369      
   4.65600000000E+08; -54.4165      
   4.65800000000E+08; -57.344       
   4.66000000000E+08; -52.4169      
   4.66200000000E+08; -55.7883      
   4.66400000000E+08; -55.8232      
   4.66600000000E+08; -53.6802      
   4.66800000000E+08; -53.1292      
   4.67000000000E+08; -53.3433      
   4.67200000000E+08; -54.1536      
   4.67400000000E+08; -60.1977      
   4.67600000000E+08; -54.1707      
   4.67800000000E+08; -51.2345      
   4.68000000000E+08; -49.7189      
   4.68200000000E+08; -57.2311      
   4.68400000000E+08; -56.3435      
   4.68600000000E+08; -55.0378      
   4.68800000000E+08; -58.4841      
   4.69000000000E+08; -51.3482      
   4.69200000000E+08; -56.415       
   4.69400000000E+08; -53.6332      
   4.69600000000E+08; -53.0626      
   4.69800000000E+08; -55.1131      
   4.70000000000E+08; -57.316       
   4.70200000000E+08; -54.9358      
   4.70400000000E+08; -55.273       
   4.70600000000E+08; -57.6467      
   4.70800000000E+08; -54.9336      
   4.71000000000E+08; -55.1447      
   4.71200000000E+08; -51.0352      
   4.71400000000E+08; -54.563       
   4.71600000000E+08; -53.458       
   4.71800000000E+08; -67.8134      
   4.72000000000E+08; -60.7407      
   4.72200000000E+08; -53.5072      
   4.72400000000E+08; -63.1023      
   4.72600000000E+08; -52.9174      
   4.72800000000E+08; -61.6583      
   4.73000000000E+08; -55.8768      
   4.73200000000E+08; -56.6659      
   4.73400000000E+08; -58.8064      
   4.73600000000E+08; -58.9486      
   4.73800000000E+08; -63.3763      
   4.74000000000E+08; -60.9187      
   4.74200000000E+08; -55.2661      
   4.74400000000E+08; -60.4627      
   4.74600000000E+08; -57.8341      
   4.74800000000E+08; -58.8771      
   4.75000000000E+08; -71.9385      
   4.75200000000E+08; -53.7404      
   4.75400000000E+08; -57.1566      
   4.75600000000E+08; -54.3624      
   4.75800000000E+08; -67.9287      
   4.76000000000E+08; -52.1512      
   4.76200000000E+08; -60.2518      
   4.76400000000E+08; -59.354       
   4.76600000000E+08; -53.571       
   4.76800000000E+08; -76.0673      
   4.77000000000E+08; -60.2267      
   4.77200000000E+08; -64.9298      
   4.77400000000E+08; -65.8298      
   4.77600000000E+08; -50.2851      
   4.77800000000E+08; -54.1551      
   4.78000000000E+08; -57.7948      
   4.78200000000E+08; -57.768       
   4.78400000000E+08; -53.6979      
   4.78600000000E+08; -59.1589      
   4.78800000000E+08; -65.3697      
   4.79000000000E+08; -61.678       
   4.79200000000E+08; -64.6333      
   4.79400000000E+08; -61.164       
   4.79600000000E+08; -56.2915      
   4.79800000000E+08; -73.0667      
   4.80000000000E+08; -61.3627      
